lat,lon,stopId,tag,title
37.7911099,-122.39907,15657,5657,Market St & Battery St
37.7893499,-122.40131,15639,5639,Market St & 2nd St
37.78773,-122.4033699,15678,5678,Market St & Kearny St
37.7857799,-122.40586,15694,5694,Market St & Stockton St
37.7840799,-122.40799,15655,5655,Market St & 5th St North
37.7823199,-122.41023,15695,5695,Market St & Taylor St
37.7805699,-122.41244,15656,5656,Market St & 7th St North
37.7791099,-122.41438,15676,5676,Market St & Hyde St
37.7775999,-122.41624,15680,5680,Market St & Larkin St
37.7751999,-122.41925,15696,5696,Market St & Van Ness Ave
37.77327,-122.4217699,15672,5672,Market St & Gough St
37.77095,-122.4246699,15681,5681,Market St & Laguna St
37.76979,-122.4261499,15659,5659,Market St & Buchanan St
37.7673999,-122.42931,15661,5661,Market St & Church St
37.7661899,-122.43071,15690,5690,Market St & Sanchez St
37.76449,-122.4328099,15686,5686,Market St & Noe St
37.7625799,-122.43498,133311,33311,17th St & Castro St
37.7625799,-122.43498,13311,3311,17th St & Castro St
37.7639599,-122.43332,15687,5687,Market St & Noe St
37.7656899,-122.43114,15691,5691,Market St & Sanchez St
37.7675899,-122.4288,15662,5662,Market St & Church St
37.76888,-122.4270999,15668,5668,Market St & Dolores St
37.7705699,-122.42497,15675,5675,Market St & Guerrero St
37.7728799,-122.42199,15673,5673,Market St & Gough St
37.7750599,-122.41932,15692,5692,Market St & South Van Ness Ave
37.7774099,-122.41634,15652,5652,Market St & 9th St
37.7786099,-122.41483,15651,5651,Market St & 8th St
37.7803599,-122.41261,15650,5650,Market St & 7th St
37.7820999,-122.4104,15647,5647,Market St & 6th St
37.7838899,-122.40814,15645,5645,Market St & 5th St
37.7857099,-122.40585,15643,5643,Market St & 4th St
37.7875299,-122.40352,15640,5640,Market St & 3rd St
37.78861,-122.4021599,15685,5685,Market St & New Montgomery St
37.7909399,-122.39919,17264,7264,Market St & 1st St
37.7929799,-122.39663,15682,5682,Market St & Main St
37.7939199,-122.39344,14727,4727,Ferry Plaza
37.7948899,-122.3935499,14513,4513,The Embarcadero & Ferry Term
37.79709,-122.39567,14532,4532,The Embarcadero & Washington St
37.7995499,-122.3978699,14503,4503,The Embarcadero & Broadway
37.80126,-122.39937,14517,4517,The Embarcadero & Green St
37.8032599,-122.4011099,14515,4515,The Embarcadero & Greenwich St
37.8051499,-122.4032299,17281,7281,The Embarcadero & Sansome St
37.80695,-122.40628,14501,4501,The Embarcadero & Bay St
37.8083499,-122.41029,14530,4530,Pier 39
37.8085899,-122.41336,15174,5174,Jefferson St & Powell St
37.8083199,-122.41551,15175,5175,Jefferson St & Taylor St
37.8071299,-122.41732,135184,35184,Jones St & Beach St
37.7932299,-122.39654,17217,7217,Embarcadero Station Outbound
37.78879,-122.4021299,16994,6994,Montgomery Station Outbound
37.7843,-122.4078199,16995,6995,Powell Station Outbound
37.7786799,-122.41499,16997,6997,Civic Center Station Outbound
37.7752299,-122.41934,16996,6996,Van Ness Station OB
37.7694599,-122.42912,17859,7859,Duboce Ave & Church St Ada Only
37.76779,-122.429,17316,7316,Church St & 14th St
37.76462,-122.42872,13984,3984,Church St & 16th St
37.7614699,-122.4284199,13987,3987,Church St & 18th St
37.7582599,-122.4279199,16214,6214,Right of Way & 20th St
37.7574511,-122.4269694,16221,6221,Right of Way & Liberty St
37.7566399,-122.4269199,16216,6216,Right of Way & 21st St
37.7546099,-122.4277499,16218,6218,Church St & 22nd St
37.7517999,-122.4275,13995,3995,Church St & 24th St
37.74939,-122.42729,14002,4002,Church St & Clipper St
37.7469899,-122.4270699,13997,3997,Church St & 27th St
37.7428099,-122.42665,14004,4004,Church St & Day St
37.7421699,-122.42446,13538,3538,30th St & Dolores St
37.7393899,-122.42432,16280,6280,San Jose Ave & Randall St
37.7324,-122.4338499,14788,4788,Glen Park Station
37.7289999,-122.44002,16285,6285,San Jose Ave & Santa Rosa Ave
37.7258799,-122.44236,16287,6287,San Jose Ave & Santa Ynez Ave
37.72309,-122.4446999,16274,6274,San Jose Ave & Ocean Ave
37.7219099,-122.44744,17155,7155,San Jose Ave & Geneva Ave
37.7907499,-122.38984,14510,4510,Embarcadero Folsom St
37.7218099,-122.44742,15418,5418,Metro Terminal
37.7212399,-122.44622,17778,7778,San Jose & Geneva
37.7228599,-122.44479,16275,6275,San Jose Ave & Ocean Ave
37.7256799,-122.44244,16288,6288,San Jose Ave & Santa Ynez Ave
37.72899,-122.4399199,16284,6284,San Jose Ave & Santa Rosa Ave
37.7325299,-122.43342,14787,4787,Glen Park Station
37.73974,-122.4241599,16277,6277,San Jose Ave & Randall St
37.7422999,-122.42403,13537,3537,30th St & Dolores St
37.7422199,-122.42646,14000,4000,Church St & 30th St
37.74359,-122.42658,13999,3999,Church St & 29th St
37.74678,-122.42689,13998,3998,Church St & 27th St
37.74918,-122.42712,14003,4003,Church St & Clipper St
37.7515899,-122.42735,13996,3996,Church St & 24th St
37.75474,-122.42764,13994,3994,Church St & 22nd St
37.7564399,-122.42682,16217,6217,Right of Way & 21st St
37.7572399,-122.42687,16222,6222,Right of Way & Liberty St
37.7582299,-122.42779,16215,6215,Right of Way & 20th St
37.7611899,-122.42818,16213,6213,Right of Way & 18th St
37.7643799,-122.4286099,13985,3985,Church St & 16th St
37.7675099,-122.4289299,17073,7073,Church St & Market St
37.7692999,-122.42909,14006,4006,Church St & Duboce Ave
37.7751299,-122.41925,15419,5419,Van Ness Station Inbound
37.7785399,-122.41481,15727,5727,Civic Center Station Inbound
37.7841999,-122.40769,15417,5417,Powell Station Inbound
37.7886999,-122.40192,15731,5731,Montgomery Station Inbound
